feature,feature_group,source,source_column,included,reason,non_null_count,coverage_rate,nunique,all_missing,constant,all_in_set,model_use,feature_label_ko,asof_rule
ext_period,ext,raw.eua_daily,period,True,db_time_indexed_asof_join,2132,1.0,4,False,False,all_in_finbert_60d,,,
pol_period,pol,raw.gir_additional_allocation,period,True,db_time_indexed_asof_join,2124,0.9962476547842402,1,False,True,all_in_finbert_60d,,,
pol_no,pol,raw.gir_additional_allocation,no,True,db_time_indexed_asof_join,2124,0.9962476547842402,1,False,True,all_in_finbert_60d,,,
pol_allocation_qty,pol,raw.gir_additional_allocation,allocation_qty,True,db_time_indexed_asof_join,2124,0.9962476547842402,3,False,False,all_in_finbert_60d,,,
pol_period_2,pol,raw.gir_borrowing,period,True,db_time_indexed_asof_join,2124,0.9962476547842402,3,False,False,all_in_finbert_60d,,,
pol_no_2,pol,raw.gir_borrowing,no,True,db_time_indexed_asof_join,2124,0.9962476547842402,8,False,False,all_in_finbert_60d,,,
pol_borrowing_qty,pol,raw.gir_borrowing,borrowing_qty,True,db_time_indexed_asof_join,2124,0.9962476547842402,8,False,False,all_in_finbert_60d,,,
pol_period_3,pol,raw.gir_cancelled_allocation,period,True,db_time_indexed_asof_join,2124,0.9962476547842402,3,False,False,all_in_finbert_60d,,,
pol_no_3,pol,raw.gir_cancelled_allocation,no,True,db_time_indexed_asof_join,2124,0.9962476547842402,3,False,False,all_in_finbert_60d,,,
pol_cancelled_qty,pol,raw.gir_cancelled_allocation,cancelled_qty,True,db_time_indexed_asof_join,2124,0.9962476547842402,11,False,False,all_in_finbert_60d,,,
pol_period_4,pol,raw.gir_carryover,period,True,db_time_indexed_asof_join,2124,0.9962476547842402,3,False,False,all_in_finbert_60d,,,
pol_no_4,pol,raw.gir_carryover,no,True,db_time_indexed_asof_join,2124,0.9962476547842402,3,False,False,all_in_finbert_60d,,,
pol_carryover_qty,pol,raw.gir_carryover,carryover_qty,True,db_time_indexed_asof_join,2124,0.9962476547842402,3,False,False,all_in_finbert_60d,,,
pol_banking_qty,pol,raw.gir_carryover,banking_qty,True,db_time_indexed_asof_join,2124,0.9962476547842402,3,False,False,all_in_finbert_60d,,,
pol_period_5,pol,raw.gir_certified_emissions,period,True,db_time_indexed_asof_join,2124,0.9962476547842402,3,False,False,all_in_finbert_60d,,,
pol_no_5,pol,raw.gir_certified_emissions,no,True,db_time_indexed_asof_join,2124,0.9962476547842402,11,False,False,all_in_finbert_60d,,,
pol_certified_emissions_qty,pol,raw.gir_certified_emissions,certified_emissions_qty,True,db_time_indexed_asof_join,2124,0.9962476547842402,11,False,False,all_in_finbert_60d,,,
pol_period_7,pol,raw.gir_early_reduction,period,True,db_time_indexed_asof_join,2132,1.0,1,False,True,all_in_finbert_60d,,,
pol_no_7,pol,raw.gir_early_reduction,no,True,db_time_indexed_asof_join,2132,1.0,1,False,True,all_in_finbert_60d,,,
pol_early_reduction_qty,pol,raw.gir_early_reduction,early_reduction_qty,True,db_time_indexed_asof_join,2132,1.0,1,False,True,all_in_finbert_60d,,,
pol_period_8,pol,raw.gir_offset_issuance,period,True,db_time_indexed_asof_join,2124,0.9962476547842402,3,False,False,all_in_finbert_60d,,,
pol_no_9,pol,raw.gir_offset_issuance,no,True,db_time_indexed_asof_join,2124,0.9962476547842402,11,False,False,all_in_finbert_60d,,,
pol_offset_qty,pol,raw.gir_offset_issuance,offset_qty,True,db_time_indexed_asof_join,2124,0.9962476547842402,11,False,False,all_in_finbert_60d,,,
pol_no_10,pol,raw.gir_pre_allocation,no,True,db_time_indexed_asof_join,2132,1.0,4,False,False,all_in_finbert_60d,,,
pol_period_9,pol,raw.gir_pre_allocation,period,True,db_time_indexed_asof_join,2132,1.0,4,False,False,all_in_finbert_60d,,,
pol_pre_allocation_qty,pol,raw.gir_pre_allocation,pre_allocation_qty,True,db_time_indexed_asof_join,2132,1.0,12,False,False,all_in_finbert_60d,,,
pol_period_11,pol,raw.gir_total_allowance,period,True,db_time_indexed_asof_join,2132,1.0,4,False,False,all_in_finbert_60d,,,
pol_total_emissions,pol,raw.gir_total_allowance,total_emissions,True,db_time_indexed_asof_join,2132,1.0,4,False,False,all_in_finbert_60d,,,
